name,requirements,responsibilities,experience,employment,salary_from,salary_to,currency,gross
Data Engineer,"...в Greenplum (PostgreSQL). Желателен опыт работы с Apache Hadoop, <highlighttext>Apache</highlighttext> <highlighttext>Spark</highlighttext>, ClickHouse;Желателен опыт работы с Jira, Confluence, Git, Jenkins.",Выполнение роли разработчика корпоративного аналитического Хранилища данных и роли технического эксперта по миграции ХД с Oracle на Greenplum. ,От 3 до 6 лет,Полная занятость,250000.0,300000.0,RUR,False
Data Engineer,App для взрослых (iOS + Android). Опыт работы в роли <highlighttext>Data</highlighttext> <highlighttext>Engineer</highlighttext> от 3 лет. Уверенное владение SQL. ,Создание и обслуживание ELT процессов. Обеспечение качества данных. Создание и обслуживание инфраструктуры аналитики. Оптимизация и обслуживание DWH. Поддержка BI системы.,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,Высшее техническое образование. Навыки работы с биллинговыми и управленческими системами. Владение английским языком на уровне не ниже Intermediate обязателен. ,"Разработка, внедрение и поддержка источников и технических процедур системы потоков данных для автоматизации алгоритмов и рутины. Разработка алгоритмов, моделей и...",От 1 года до 3 лет,Полная занятость,,,,
Data Engineer,"Знание алгоритмов и структур данных. Опыт работы с большими данными. Знание Python, SQL, опыт работы с ClickHouse, Kafka. Будет плюсом. ","Участие в проектировании архитектуры расчёта метрик А/B-экспериментов. Миграция метрик всех бизнес-юнитов в единую платформу, интеграция с другими...",От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"Опыт работы java/scala-разработчиком/<highlighttext>дата</highlighttext>-<highlighttext>инженером</highlighttext> от 2-3 лет. Знание SQL: понимание планов запроса, внутренней работы SQL-запросов. ",Компонент активатор продуктов движка прод. полки собирается локально в IDE на B2CSQL и проходит все существующие автотесты. ,От 3 до 6 лет,Полная занятость,,,,
Data Engineer (Северсталь Диджитал),"Имеешь опыт работы от 1 года. Знаешь SQL и PL/pgSQL (Oracle, Postgres, MS SQL). Имеешь опыт работы с Airflow. ",Создавать ETL-процессы для данных (NiFi/MiNiFi/Airflow/Flink). Создавать триггеры/хранимые процедуры (Postgres/Oracle). Разрабатывать и разворачивать DDL (Postgres...,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"4.С опытом работы от года с: B.ETL инструменты: Apache Nifi, <highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext>, <highlighttext>Apache</highlighttext> <highlighttext>Spark</highlighttext>, Microsoft SQL Server Integration Services...","Построение data pipeline в ETL из разных источников данных такие как: CRM, ERP, так же API i т.д. ",От 1 года до 3 лет,Полная занятость,1300.0,2300.0,USD,False
Архитектор DWH,Высшее техническое образование. Опыт работы системным аналитиком ХД/архитектором модели данных не менее 3 лет. Понимание современных подходов к проектированию...,Проектирование и имплементация архитектуры данных прикладной аналитической платформы Сбер B2C. Формирование стандарта проектирования витрин данных и контроль его...,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"Высшее образование. Опыт работы: минимум 1 год. Уверенно работать с SQL и реляционными СУБД (например, PostgreSQL, MySQL). Опыт работы Power...","Оказывать помощь в построении пайплайнов данных: загружать, чистить, проверять и подготавливать таблицы. Работать с сырыми данными (из Excel, CSV, API...",От 1 года до 3 лет,Полная занятость,600.0,,USD,False
Data Engineer,Опыт работы в роли <highlighttext>Data</highlighttext>-<highlighttext>инженера</highlighttext> от 2 лет. Глубокое понимание принципов работы с большими данными (Big Data). ,Разработка и сопровождение ETL-процессов для загрузки и преобразования данных из различных источников. Проектирование и разработка архитектуры хранения данных. ,От 1 года до 3 лет,Полная занятость,180000.0,,RUR,True
Data Engineer/Дата Инженер,"Знание SQL (подтверждается прохождением теста). Имеете опыт в области бизнес и системного анализа не менее 2 лет (выявление, фиксация, согласование...","Опыт работы от 3 лет. Взаимодействие с бизнес заказчиками, понимать и структурировать бизнес-требования. Разработка функциональных требований в области построения...",От 3 до 6 лет,Полная занятость,,,,
